Rack ID,Location,Name,Smiles,IUPAC name,MW,Reaction Scale (mmol),Eq,amount per reaction (mg),Volume to dispense (theory) at 0.8M,Min weight,Exp weight,Volume to dispense (exp) at 0.8M,AC volume per reaction at 0.8M,Barcode rack,Barcode vial
24_rack1,C1,11_A1,IC1=CC=C(C)C=C1,1-iodo-4-methylbenzene,218.03448,0.05,1,10.901724,100,87.213792,,800,100,,
24_rack1,C2,11_A2,BrC1=CC=C(C(OC)=O)C=C1,methyl 4-bromobenzoate,215.04398,0.05,1,10.752199,100,86.017592,,800,100,,
24_rack1,C3,11_A3,BrC1=CC=C(Cl)C=C1,1-bromo-4-chlorobenzene,191.45296,0.05,1,9.572648,100,76.581184,,800,100,,
24_rack1,C4,11_A4,BrC1=CC=C(C#N)C=C1,4-bromobenzonitrile,182.01736,0.05,1,9.100868,100,72.806944,,800,100,,
24_rack1,C5,11_A5,BrC1=CC=C(C(C)=O)C=C1,4-bromoacetophone,199.04458,0.05,1,9.952229,100,79.617832,,800,100,,
24_rack1,C6,11_A6,CC1=CC=CC(I)=C1,1-iodo-3-methylbenzene,218.03448,0.05,1,10.901724,100,87.213792,,800,100,,
24_rack1,D1,11_A7,BrC1=CC(C(OC)=O)=CC=C1,methyl 3-bromobenzoate,215.04398,0.05,1,10.752199,100,86.017592,,800,100,,
24_rack1,D2,11_A8,O=C(OC)CC1=NC=C(Br)C=C1,methyl 2-(5-bromopyridin-2-yl)acetate,230.36,0.05,1,11.518,100,92.144,,800,100,,
24_rack1,D3,11_A9,IC1=CC(CC(OC)=O)=CC=C1,methyl 2-(3-iodophenyl)acetate,276.07056,0.05,1,13.803528,100,110.428224,,800,100,,
24_rack1,D4,11_A10,BrC1=CC(CC(OC)=O)=CC=C1,methyl 2-(3-bromophenyl)acetate,229.07,0.05,1,11.4535,100,91.628,,800,100,,
24_rack1,D5,11_A11,C[Si](C)(C#CC1=CC=CC(Br)=C1)C,(3-Bromophenylethynyl)trimethylsilane,253.21,0.05,1,12.6605,100,101.284,,800,100,,
