Rack ID,Location,Name,Smiles,IUPAC name,MW,Reaction Scale (mmol),Eq,amount per reaction (mg),Volume to dispense (theory) at 0.8M,Min weight,Exp weight,Volume to dispense (exp) at 0.8M,AC volume per reaction at 0.8M,Barcode rack,Barcode vial
24_rack1,C1,11_A1,IC1=CC=C(C)C=C1,1-iodo-4-methylbenzene,218.03448,0.04,1,8.7213792,525,61.0496544,64.2,552.0915774,75,SA00544807,FB00282751
24_rack1,C2,11_A2,BrC1=CC=C(C(OC)=O)C=C1,methyl 4-bromobenzoate,215.04398,0.04,1,8.6017592,525,60.2123144,79.1,689.6845008,75,SA00544807,FB00282637
24_rack1,C3,11_A3,BrC1=CC=C(CC(OCC)=O)C=C1,ethyl 2-(4-bromophenyl)acetate,243.1,0.04,1,9.724,525,68.068,87.5,674.876594,75,SA00544807,FB00282634
24_rack1,C4,11_A4,BrC1=CC=C(C#N)C=C1,4-bromobenzonitrile,182.01736,0.04,1,7.2806944,525,50.9648608,70.7,728.2959164,75,SA00544807,FB00282921
24_rack1,C5,11_A5,BrC1=CC=C(C(C)=O)C=C1,4-bromoacetophone,199.04458,0.04,1,7.9617832,525,55.7324824,71.6,674.4720203,75,SA00544807,FB00283392
24_rack1,C6,11_A6,IC1=CC=CC(C)=C1,1-iodo-3-methylbenzene,218.04,0.04,1,8.7216,525,61.0512,75.6,650.1100715,75,SA00544807,FB00282671
24_rack1,D1,11_A7,BrC1=CC(C(OC)=O)=CC=C1,methyl 3-bromobenzoate,215.04398,0.04,1,8.6017592,525,60.2123144,91.8,800.4176634,75,SA00544807,FB00283363
24_rack1,D2,11_A8,BrC1=CC=CC(C(C)=O)=C1,3-bromoacetophone,199.05,0.04,1,7.962,525,55.734,68.7,647.1363979,75,SA00544807,FB00282397
24_rack1,D3,11_A9,BrC1=CC=CS1,2-bromothiophene,163.03,0.04,1,6.5212,525,45.6484,69.9,803.9164571,75,SA00544807,FB00282371
24_rack1,D4,11_A10,BrC1=CC=C(OCO2)C2=C1,5-bromo-2H-1?3-benzodioxole,201.02,0.04,1,8.0408,525,56.2856,81.3,758.3200677,75,SA00544807,FB00283306
